gene	IgK.C13	IgK.C15	IgK.C16	IgK.C20	IgK.C25	IgK.C26	IgK.C27	IgK.C28	IgK.C29	IgK.C32	IgK.C35	IgK.C37	IgK.C40	IgK.C41	IgK.C42	IgK.C43	IgK.C44	IgK.C46	IgK.C47	IgK.C48	IgK.C49	IgK.C50	IgK.C51	average	median
IGKV1-33	0.019391779457816335	0.019722946225830065	0.021418132338860047	0.017648675216217515	0.01283909037835776	0.015838517145089773	0.018332925934979222	0.014390710273672468	0.01913856998470988	0.021154099843582155	0.019660091207975395	0.01850946256540662	0.020562165173882953	0.01847106342586918	0.02040914539711428	0.016737664997276025	0.025117839592279565	0.025074577784041537	0.017201169778260382	0.02510988202140859	0.023532440936866593	0.022121942355933937	0.01976495726495726	0.019658602143495109	0.019660091207975395
IGKV1D-33	0.019391779457816335	0.019722946225830065	0.021418132338860047	0.017648675216217515	0.01283909037835776	0.015838517145089773	0.018332925934979222	0.014390710273672468	0.01913856998470988	0.021154099843582155	0.019660091207975395	0.01850946256540662	0.020562165173882953	0.01847106342586918	0.02040914539711428	0.016737664997276025	0.025117839592279565	0.025074577784041537	0.017201169778260382	0.02510988202140859	0.023532440936866593	0.022121942355933937	0.01976495726495726	0.019658602143495109	0.019660091207975395
IGKV2D-28	0.016771268720273586	0.01921005637125765	0.019111564240828962	0.019660000963170075	0.02332899936502325	0.01963359950257813	0.018176234260321278	0.01941998964267219	0.019462513281675177	0.01818592993234457	0.018904443737405876	0.018404989797233918	0.019744100537932775	0.013967316479438113	0.018462292299211633	0.022907627780585624	0.018052022647082954	0.019378479317877534	0.02147061364000937	0.017791423944817142	0.019849883385677548	0.02127516944278814	0.021189458689458686	0.019319912086072356	0.019378479317877534
IGKV2-28	0.016771268720273586	0.01921005637125765	0.019111564240828962	0.019660000963170075	0.02332899936502325	0.01963359950257813	0.018176234260321278	0.01941998964267219	0.019462513281675177	0.01818592993234457	0.018904443737405876	0.018404989797233918	0.019744100537932775	0.013967316479438113	0.018462292299211633	0.022907627780585624	0.018052022647082954	0.019378479317877534	0.02147061364000937	0.017791423944817142	0.019849883385677548	0.02127516944278814	0.021189458689458686	0.019319912086072356	0.019378479317877534
IGKV2-30	0.011311871350392862	0.013661520671792455	0.015738935257153266	0.01878181648210628	0.016630343515445286	0.019073439745015273	0.010529680537013707	0.022573663174388185	0.013403477855236223	0.02104416762464743	0.0175257185279457	0.01415939432468358	0.021645548070141303	0.015250029217345695	0.018418542791393593	0.015031079546573374	0.014587493048147843	0.013623658187113903	0.03068405704108619	0.016285672225610396	0.01625714431134677	0.02169855589936104	0.017746913580246913	0.01720272708626901	0.016285672225610396
IGKV1-16	0.014788415595532909	0.011376829501424433	0.012583395035645198	0.012762003507072218	0.02690859358464147	0.016393075305077005	0.01274216698318385	0.015582466903026199	0.0158654469121725	0.016518101125077737	0.012069148372043696	0.012356683367490743	0.0134361588991061	0.014015774516203512	0.016861060313071476	0.011493196631462872	0.01046196767046853	0.01746412045192963	0.013075685969653217	0.013068074278143466	0.016817012817096647	0.01136792635898232	0.014939458689458687	0.014475946208172363	0.0134361588991061
IGKV1-27	0.011006145097679542	0.012868872714725999	0.011707286816897257	0.013300245608369381	0.011583092406561891	0.015404393332978559	0.013036747331540779	0.00896307214277178	0.011195480343120743	0.013191866272167046	0.008471205854279351	0.01544863274043185	0.01817430083110945	0.013853297569401886	0.012337361204686446	0.012799390880269903	0.009846557807499793	0.015502783454302026	0.010118335163682577	0.025236062333073957	0.01634696278820504	0.013124980153759848	0.014957264957264954	0.013411927730642609	0.013036747331540779
IGKV1-17	0.013373339797259822	0.01219279063369873	0.013226908152070675	0.01645887688703431	0.013092615894886925	0.011315227102769708	0.010299866080848723	0.014971650134778048	0.010915593334542725	0.01240663613691901	0.01185173401209036	0.01242559093798763	0.012724221567279181	0.011986237917558628	0.008268656977609002	0.008483698827050691	0.011382803169132863	0.014563220820707965	0.009028351904180184	0.014868246724569408	0.015799070079369593	0.011184458894467397	0.014912749287749282	0.012423154142372212	0.01240663613691901
IGKV1-12	0.012906015382398038	0.013265196693259235	0.009931810869169133	0.013291747048875206	0.010117761439466716	0.011441263048221361	0.010070051624683737	0.011764862101475265	0.013395703216109046	0.011423528007588472	0.013169477144978261	0.01091407003676552	0.009788032819868802	0.011986237917558634	0.014459212333861255	0.013931644688909171	0.01136001021124513	0.011333474267728374	0.010323992382456616	0.01719837647998992	0.009862068759037997	0.01007306944596355	0.01283831908831909	0.011949822826431675	0.011441263048221361
IGKV1-8	0.0052410214750854955	0.007926479570664564	0.014420896343992648	0.010311585519587762	0.00709406261847666	0.010004453270072622	0.009217648914544537	0.008803728638011392	0.007722808199652736	0.01112514055619421	0.007429207763283488	0.009158038401522189	0.007992712591783536	0.0076962764274454915	0.008662402547971335	0.0074827208223116354	0.013493431069536753	0.009160735677542105	0.012216038795177747	0.014708418329793273	0.013802105943887406	0.01016127495774956	0.012553418803418802	0.0098428090103350411	0.0091607356775421055
IGKV1D-12	0.00871319820232963	0.008509308950860483	0.010552064475362371	0.010827164795567166	0.0073731732788757465	0.011553294999733933	0.00693621813152491	0.008777171387218001	0.006398528001658594	0.009538975682993176	0.00921889914094815	0.00726863727499456	0.007753926157506195	0.011416143367377491	0.010784253677146131	0.009074439944601616	0.008077824275411866	0.009924130317337283	0.010735306820004686	0.016062753675001602	0.011299164388770313	0.009437989761104196	0.010078347578347586	0.0095787354036815497	0.0094379897611041961
IGKV1-6	0.007730506675751106	0.006993952562351087	0.009420101644059714	0.007960317392868576	0.01686293573244452	0.008738492217980565	0.007771907063033926	0.009709994821336094	0.009148158706300051	0.007198989879954017	0.006920139993636653	0.009980483597775399	0.009518292588555497	0.012884136834093934	0.005643686508526778	0.010534883262991382	0.005880583135034599	0.00951307166513988	0.008637603188509518	0.007823179323252927	0.007993844440385981	0.004657251022301882	0.009348290598290596	0.0087335131675902039	0.0086376031885095177
IGKV2D-29	0.006158200233225457	0.004755887742398739	0.008954911439414789	0.00552406367120773	0.008757096970021189	0.005377533672603425	0.003677031298639707	0.006074971118989762	0.0046181356415373066	0.010741948250193166	0.00506416375013257	0.0043789649638346405	0.005704342596625594	0.0070178639127299255	0.008189907863536534	0.005119756352107961	0.005607067640381827	0.0070467197519554665	0.006622162444523964	0.0045004311160648566	0.007275296625519825	0.009526195272890213	0.007092830009496674	0.0064254557538274484	0.0060749711189897618
IGKV1-NL1	0.0006114525054266413	0.001119032409976174	0.0009303804092898482	0.0011897983291832034	0.0012141313727360055	0.0011763354908819993	0.000908811713016064	0.011857812479252147	0.0010107030865317338	0.0005653656973785877	0.0006363347120585428	0.013748171726556978	0.001370811011592197	0.000912151280289836	0.0014437337579952224	0.0005907411175509186	0.005743825387708213	0.00422803185117328	0.027278373498188152	0.00580429433660701	0.02510426428188631	0.01954634141178214	0.0059650997150997144	0.0057806955470504741	0.0012141313727360055
IGKV1D-13	0.00965221454994912	0.009465149134381803	0.0037215216371593927	0.004504236531907841	0.0043773855239255975	0.0032125162096229834	0.013009587441266728	0.004312233597577978	0.014227589602715942	0.004937527090439665	0.005705801251458266	0.009253619870275944	0.007163593028320518	0.002223368745706475	0.0028612178112996226	0.01177215771475081	0.0011943509933171048	0.0012918986211918355	0.004244764995496106	0.0018716746230363185	0.0017484663495076454	0.002399189920579757	0.0008665716999050331	0.0053920276932083689	0.0043122335975779779
IGKV1D-8	0.004804269685495038	0.003730108033253913	0.005349687353416627	0.004475908000260623	0.00213984839639296	0.005047039415641339	0.003468109065762451	0.004023423495199776	0.003835488636069143	0.0067906702096250365	0.003658924594336621	0.0023561943460226995	0.0029406107184155195	0.002052340380652131	0.005512437985072668	0.003872636215056021	0.005470309893055441	0.006576938435158435	0.00518256191310571	0.005446783453555129	0.005359169119210076	0.006350796848593475	0.00566832858499525	0.0045266341207976556	0.0048042696854950382
IGKV3D-11	0.0038434157483960307	0.006434436357362999	0.0036129772560755773	0.004192622683788431	0.003465624033288597	0.004285222145355854	0.003520339623981765	0.0036184254206004596	0.0027729546220229616	0.003926150676240192	0.004096404708876869	0.002867444062612531	0.003077691819574739	0.0038766429412318035	0.006453052403160463	0.0036429035582306647	0.0022565028308853693	0.00211401592558664	0.0034961727191586143	0.0022922756619208847	0.005389108611496166	0.0037046314950128605	0.0032941595441595434	0.003749268471696523	0.0036184254206004596
IGKV1D-16	0.002485117682769706	0.0017718013157956088	0.0031477870514306527	0.0035977235191968293	0.0034167796677187583	0.004626919597469197	0.003844169084941512	0.0032267059713978405	0.004384896467722291	0.004818172109881964	0.0026381376604093757	0.0035098404456319265	0.003917866310550602	0.0026936967496059222	0.0021087262768293854	0.003757769886643343	0.002233709872997638	0.004545134240011276	0.0039280528785840905	0.005888414544383923	0.003119695096210558	0.005574588344876495	0.003979700854700854	0.0036180611143373804	0.0035977235191968293
IGKV1-13	0.006769652738652095	0.006667568109441368	0.002186393961831143	0.002634553443191379	0.0024236109011320267	0.002237838231463613	0.010001107287834246	0.003156993188065172	0.009096327778785607	0.002487609068465786	0.0041149644713119075	0.006319491062021261	0.005173706076009262	0.0015392552854890983	0.0012862355298502892	0.00744005618604407	0.0003738045093587884	0.0005872266459962888	0.0010365123826211419	0.0009127042543795082	0.0008502815809249509	0.0009173373225746131	0.0005104463437796769	0.0034227685373575344	0.0024236109011320267
IGKV2-29	0.0005241021475085496	0.0002797581024940435	0.0008140828581286171	0.0009348415443582312	0.0012211091392459825	0.0008402396363442851	0.0002298144561649817	0.0051786639047125835	0.0009329566952600618	0.0014134142434464691	0.0012461554777813129	0.0009113581904427422	0.0007296252158474597	0.000684113460217377	0.0003149964562898667	0.0008861116763263779	0.0019146084625694044	0.0007046719751955466	0.01542429140805271	0.0015982839477613506	0.002784372782606353	0.012172360626470827	0.0016915954415954414	0.0023231099064704597	0.00093295669526006185
IGKV2-24	0.0018343575162799235	0.0008392743074821303	0.0034889265348369307	0.0016997118988331477	0.001721182405794337	0.0013443834181508562	0.00137888673698989	0.001892204119029598	0.002047321636820691	0.002512736432793723	0.001590836780146357	0.0013336949128430376	0.0033828078189291314	0.0007411229152354919	0.0026249704690822226	0.0026583350289791337	0.0032821859358332646	0.0014093439503910933	0.0012339433126442169	0.003911589661626464	0.0033232836437559693	0.0009526195272890213	0.0019883665716999045	0.002051829805889849	0.0018343575162799235
IGKV6D-21	0.001528631263566603	0.0025178229224463913	0.0020933559209021587	0.0011897983291832032	0.0011629610849961736	0.002996854702961284	0.0011908567274003595	0.0009627003412606728	0.0012180267965895251	0.0025127364327937234	0.0010605578534309047	0.0014670644041273413	0.0023436446327221435	0.001909816743106844	0.0016187317892673704	0.0014243424723172147	0.0015499211363657083	0.0014093439503910933	0.001809783525211518	0.0013879834283190677	0.0005389108611496167	0.0013054415744331031	0.0011574074074074071	0.0015807258391456274	0.0014243424723172147
IGKV6-21	0.0012665801898123284	0.001958306717458304	0.0009303804092898482	0.0010198271392998885	0.001023405754796633	0.0021566150666169986	0.0009401500479476521	0.0013610591031616407	0.0007515484489594943	0.0011935498055770184	0.0010605578534309045	0.00106695593027443	0.0019456672422598926	0.0015677600129981556	0.0010937376954509262	0.0012274287664669086	0.0015499211363657083	0.0007046719751955466	0.002796938175326891	0.0011356228049883281	0.0023352803983150055	0.001940521259292451	0.0011574074074074071	0.0013992997104648852	0.0011935498055770184
IGKV1-37	0.0006551276843856869	0.000979153358729152	0.0009303804092898482	0.00097733434182906	0.000488443655698393	0.0005881677454409996	0.00037606001917906096	0.00099589690475242	0.0010107030865317338	0.0024970318300887623	0.001034043907095132	0.001000271184632278	0.0005306365206163344	0.000684113460217377	0.0013124852345411113	0.0004922842646257655	0.0012308197259374742	0.0017616799379888666	0.0008637603188509517	0.0016403440516498072	0.0017065510603071195	0.0010584661414322458	0.0012464387464387462	0.0010460953734894925	0.00099589690475241992
