gene	IgG.C13	IgG.C15	IgG.C16	IgG.C20	IgG.C25	IgG.C26	IgG.C27	IgG.C28	IgG.C29	IgG.C32	IgG.C35	IgG.C37	IgG.C40	IgG.C41	IgG.C42	IgG.C43	IgG.C44	IgG.C47	IgG.C48	IgG.C49	IgG.C51	IgG.C52	IgG.CC	average	median
IGHD2-21	0.0350503107840678	0.035654792414146604	0.03265931181048222	0.027101928902581972	0.034401180539831475	0.03558061232479838	0.02850973522516181	0.03163528575062427	0.03100227558333051	0.031762861364584866	0.02958769738500678	0.0331538296702785	0.034380321665089905	0.02487687839373661	0.03796169630642961	0.03947200959982549	0.035856573705179286	0.026167767180239655	0.03244609874288924	0.057831066763230604	0.03268337975858867	0.0334043200486766	0.01145374449339207	0.03272320340922491	0.03268337975858867
IGHD3-9	0.03077180366251359	0.023081112250128145	0.028362033940681923	0.0285613202332078	0.026018202591670113	0.02731970871505758	0.024648986785073546	0.037636334376768284	0.028291953944910506	0.02246861499937963	0.027129695414021507	0.026399150307920234	0.02820056764427628	0.03339582503618368	0.025874535860855984	0.02716314248831842	0.03000498007968128	0.019778674492540955	0.03378046211110331	0.03562136208792683	0.03467966573816156	0.04076665652570733	0.04203901825047198	0.029651904675502629	0.028291953944910506
IGHD5-12	0.02546199515009616	0.0259642491030241	0.030268462668375146	0.03303531284780318	0.019977565579039687	0.023655156213295756	0.0242944012532217	0.030846220533345785	0.024352138029412763	0.02473577946467848	0.022603304838081276	0.023347898595958386	0.025475875118259245	0.02812126628265031	0.031424662888411184	0.02247231868511482	0.03344953519256308	0.023370628515529457	0.020629959969098957	0.01679139508060406	0.028396781182296497	0.023425616063279586	0.02154394797566604	0.025375846575208943	0.024352138029412763
IGHD6-6	0.023831424032109708	0.03283572526909277	0.02940900709441509	0.027028222269722055	0.01868667546345818	0.025992482969227165	0.023656676528025496	0.02478287728478506	0.029405970858947788	0.026224663591143397	0.027800059587926567	0.024601008077664847	0.02944181646168403	0.02272042895859035	0.021506742231776437	0.022908674387738408	0.017430278884462153	0.022774516996820728	0.015169604607065108	0.020533247498725885	0.02915506035283194	0.023273501673258288	0.028634361233480166	0.024687088100563109	0.024601008077664847
IGHD2-8	0.028862502438888427	0.027630061506919552	0.024908585179860592	0.027802141914750944	0.0238996853455343	0.024606530420483948	0.024992987674183526	0.032460689497645814	0.02381550793057774	0.026732237725165527	0.022058992047303667	0.02129820278944968	0.0276404919583728	0.02177819654773818	0.02489740082079345	0.023972291412883418	0.013736719787516602	0.026183052090975777	0.027336891635648557	0.021485475175022115	0.019962859795728868	0.029479768786127163	0.01573316551290119	0.024403236434542251	0.024897400820793451
IGHD2-2	0.017378822086573556	0.02968029215786781	0.02536175266431225	0.021146432967502758	0.02459718242411467	0.02076579750998357	0.01997322085386314	0.01919712614141923	0.022531671365010397	0.020235288809682235	0.019933307359108966	0.021801309941956358	0.021498580889309393	0.02629022701001488	0.021555598983779557	0.020417810585262087	0.026477423638778225	0.045243335778919085	0.03256900063206683	0.0228802875459349	0.02793252862890743	0.02485549132947977	0.012250891546045731	0.023677103515212732	0.021801309941956358
IGHD4-23	0.018424059982718732	0.02421834956432599	0.026627496327780716	0.019952385515172515	0.02207786461789914	0.023964450708636762	0.02718930104311656	0.022161311924748104	0.026288082056855618	0.021836967188152086	0.025989503357550486	0.01614135447625615	0.024117313150425757	0.02127308226563184	0.018389681453976937	0.033335757531681255	0.014276228419654716	0.017241379310344824	0.01699557553198961	0.03330114535554304	0.02005571030640668	0.007362336477030726	0.025068177050555904	0.022012500592019743	0.022077864617899141
IGHD7-27	0.025782534771580677	0.01542478216299333	0.023345938681751405	0.021529707458374184	0.01704703680858651	0.01172578498159894	0.01392409752689823	0.01338296138252532	0.013483680331487951	0.017956844919182917	0.023107510370591073	0.02018950369411086	0.020431409649952704	0.019417758652510525	0.01879030682040258	0.01816330612170688	0.010167662682602925	0.019427121545610167	0.01783833134349323	0.010273329578069255	0.012209842154131848	0.01937937328871311	0.03973148730857981	0.018379578792845845	0.018163306121706881
IGHD6-25	0.014549711514340664	0.011412416709379801	0.008344532299903113	0.012736506158189172	0.009871665742743304	0.013933912771122084	0.009970733462818808	0.012105921622982563	0.014101823863057427	0.012508882547345387	0.016850778080810393	0.011972086869835004	0.011542100283822151	0.010170281795486999	0.0092827828805941	0.009427101325430447	0.029589973439575035	0.04015346050379065	0.06420745838893183	0.026836726482658717	0.01629526462395543	0.01791907514450867	0.018187539332913782	0.017476988514965021	0.012736506158189172
IGHD1-7	0.012947013406918081	0.02078261148129165	0.015048285776791567	0.019841825565882674	0.01463442564498963	0.018878709576384024	0.017004228564775407	0.028785306775059354	0.019013008185307215	0.015103150343458493	0.01501730341713841	0.015232966562007967	0.017948912015137215	0.014084917481811045	0.01767637287473128	0.01506336248431846	0.01867529880478088	0.012151504035216424	0.010797808834890092	0.015208819505914534	0.01569173630454967	0.009674475205354428	0.005831760016782044	0.015873643602760456	0.015208819505914534
