gene	IgK.C13	IgK.C15	IgK.C16	IgK.C20	IgK.C25	IgK.C26	IgK.C27	IgK.C28	IgK.C29	IgK.C32	IgK.C35	IgK.C37	IgK.C40	IgK.C41	IgK.C42	IgK.C43	IgK.C44	IgK.C46	IgK.C47	IgK.C48	IgK.C49	IgK.C50	IgK.C51	average	median
IGKV3-20:IGKJ2	0.02458305215463221	0.03389955414716827	0.024799042243885742	0.025230854496857868	0.025360710321864603	0.024665562341425654	0.024590995409026407	0.03487421653344162	0.02383695424895554	0.02260069150878532	0.022633934945283832	0.02291569566261318	0.028902477823108882	0.027768458386254163	0.024106567654250854	0.022728510916495276	0.017892416478199877	0.019205673060350134	0.02624450262120218	0.020024518910933164	0.023793799708660242	0.024110052691088336	0.019735859855177045	0.02454365661389828	0.024110052691088336
IGKV1-5:IGKJ2	0.018114794360817688	0.021887320829802125	0.020205722104131536	0.02182651422373592	0.019484523369096073	0.022845051150158197	0.025839906020839902	0.018167847810144237	0.0274694863206058	0.016712010606205162	0.023179836901292536	0.028376857854422375	0.02277342141707527	0.021687555417096025	0.020365893363073997	0.018012557715095134	0.026814768161995545	0.0217910521261665	0.0278230704768834	0.028490440517166565	0.02749874395280422	0.025273986269278806	0.02284631846119392	0.022934246931699171	0.022773421417075269
IGKV3-11:IGKJ2	0.018064296961433753	0.018448235626466213	0.02276299608264718	0.02194570337990649	0.017978788999876687	0.020436420272101415	0.017146615561317146	0.020635734651406605	0.022617910378409253	0.019590555740147973	0.018868611197428945	0.019384771831702056	0.017065445222143205	0.020848810179970766	0.018703371455884285	0.018387109954917526	0.020826772780624656	0.01939034299362273	0.024847827357945135	0.022071469732939667	0.02538163295615052	0.021172506041369527	0.021882076293328688	0.020367739376162632	0.020436420272101415
IGKV3-20:IGKJ4	0.022586109542631277	0.019455396293157443	0.015820078672823666	0.0195917175455377	0.029263780984091756	0.018796186974774403	0.01761563876051348	0.019165504192782217	0.019433636590995743	0.018159507587844972	0.022311992766099215	0.01849027112787124	0.025159542613317362	0.01824270890747442	0.019904081722187966	0.021655929502458416	0.013598236523431905	0.020313692659985717	0.021177494689385918	0.014951640786830095	0.016968486644821448	0.018567511842562282	0.01735635902157414	0.019503717650137073	0.019165504192782217
IGKV1-39:IGKJ1	0.020841653927549997	0.017318250488227268	0.02205037992621368	0.019100062276334092	0.017610062893081764	0.019505477049294187	0.021324194289042638	0.02102779610703978	0.018476987813661215	0.019656351057495237	0.02077226930043365	0.020726522887448282	0.02041537223490661	0.022002084881017993	0.01907282076859311	0.020770624208332766	0.022067313656446513	0.01883633319380494	0.018189259242417353	0.01765272589326041	0.014882974319759594	0.017625279898312852	0.017589643417025406	0.01945714955346519	0.019505477049294187
IGKV1D-39:IGKJ1	0.020015332846722026	0.017023471756512764	0.021561728847516424	0.019100062276334092	0.01746207917129116	0.019150832012034293	0.021193304093918078	0.020607730261718523	0.018476987813661215	0.019656351057495237	0.020436329635197526	0.02044404898097539	0.020134652094172246	0.021642622636535734	0.018518646799529873	0.020770624208332766	0.022067313656446513	0.01883633319380494	0.018189259242417353	0.016851745136823085	0.014882974319759594	0.017403578264371812	0.017589643417025406	0.019218071814025919	0.019150832012034293
IGKV3-11:IGKJ3	0.018684037772054737	0.021666236781016247	0.022526814727943503	0.019502325678409774	0.017166111727709956	0.014901002315536564	0.016241291711705616	0.016592600890189536	0.0175750046807458	0.0204294460363256	0.020912244160948702	0.01860796858890161	0.015233746303851482	0.01371947566440605	0.015678505208080777	0.01518639081461707	0.024619965074003027	0.025115110925073254	0.024187384016404977	0.015441129026875127	0.019796567752291692	0.020618251956516925	0.02211536068877995	0.018978998804451652	0.018684037772054737
IGKV1-5:IGKJ4	0.01923491849260672	0.016949777073584135	0.018080089911798474	0.017371819511860807	0.017610062893081768	0.019127189009550308	0.02177576546222237	0.01638256796752891	0.02099160745694055	0.013330131294555767	0.019176555890562063	0.02280976794768584	0.018433955908223228	0.02032758992547149	0.018103016322732444	0.01777420628975361	0.020755203114711858	0.0216679388373181	0.016162456069690846	0.01722108626340252	0.020349544505148996	0.021357257402987065	0.018818274566402067	0.018861338352948689	0.018818274566402067
IGKV3-11:IGKJ5	0.019556265579595375	0.020290602699681876	0.016858462215055336	0.019040467698248808	0.013219879146627207	0.014717769046285618	0.0173865809190455	0.01633005973686375	0.014759723993161325	0.019541209252137526	0.017804802257514556	0.017019052864991602	0.01529924767002283	0.015906204318339764	0.027847241945427714	0.01675270018114708	0.01996793678967106	0.015512274394898185	0.015590793636357729	0.017087589470662964	0.01919619299204661	0.014854009474049827	0.01726304526339363	0.017469657023705471	0.017019052864991602
IGKV3-15:IGKJ3	0.012945696932971585	0.016900647284965053	0.0130714163551516	0.015703171325472803	0.014058453570107292	0.013807513450651891	0.016884835171068032	0.01561244725110661	0.0175750046807458	0.014178890888335478	0.01730089275966037	0.016195170637779012	0.016071228057042333	0.012101895564235902	0.013761986898403744	0.01631004753408425	0.019705514681324133	0.011818875729446237	0.01195294178787426	0.0166870990924443	0.013334639411759126	0.017846981532253895	0.015458979271903846	0.015186275211686416	0.015612447251106609
