gene	IgL.C13	IgL.C15	IgL.C16	IgL.C20	IgL.C25	IgL.C26	IgL.C27	IgL.C28	IgL.C29	IgL.C32	IgL.C35	IgL.C37	IgL.C40	IgL.C41	IgL.C42	IgL.C43	IgL.C44	IgL.C46	IgL.C47	IgL.C48	IgL.C49	IgL.C50	IgL.C51	IgL.C52	IgL.CC	average	median
IGLV4-60	0.003463869912441066	0.004413087009526751	0.008737555602626563	0.0022772703119860326	0.0014199099777074135	0.008109808673766632	0.0013771575468233565	0.003093084664600791	0.003515906547203975	0.0027644196158608577	0.002582685053297228	0.0010546143773234474	0.004685673818531308	0.002030069637540294	0.0016587243718445364	0.0015694070257121185	0.004445212752821476	0.0021629416005767847	0.004347477890786778	0.004244231970856273	0.004979813968378181	0.002465905432526663	0.0022065454452424964	0.0016010734816486482	0.0001092589692508841	0.0031726282263552226	0.0025826850532972281
IGLV5-37	0.001154623304147022	0.00033098152571450637	0.0019858080915060366	0.0018977252599883605	0.002271855964331862	0.002237188599659761	0.0029838413514506057	0.002062056443067194	0.0014063626188815898	0.0020733147118956433	0.002582685053297228	0.004042688446406548	0.0023960832026580555	0.0018455178523093582	0.0022807460112862373	0.002017809033058438	0.004445212752821476	0.00043258832011535694	0.0018305170066470647	0.0014147439902854246	0.0008892524943532467	0.0010274605968861096	0.0013431146188432586	0.0013723486985559841	0.0001092589692508841	0.0018573513966966902	0.0018977252599883605
IGLV2-5	0.0002886558260367555	0.00016549076285725319	0.001787227282355433	0.0003795450519976721	0.0007099549888537068	0.0006525133415674301	0.0013771575468233565	0.0008591901846113309	0.0007031813094407949	0.0013822098079304289	0.000469579100599496	0.0011132040649525277	0.0014376499215948333	0.0011995866040010828	0.0016587243718445364	0.0013452060220389588	0.0005556515941026845	0.00021629416005767847	0.001716109693731623	0.00023579066504757077	0.0006580468458214026	0.002260413313149441	0.0013431146188432586	0.0014485902929202055	0.00240369732351945	0.0010546713877879566	0.0011132040649525277
IGLV5-52	0.001154623304147022	0.0009929445771435191	0.0007943232366024147	0	0.0008519459866244482	0.002237188599659761	0.0006885787734116783	0.0013747042953781293	0	0.0003455524519826072	0.000704368650899244	0.0008788453144362062	0.00047921664053161107	0.0001845517852309358	0.0004146810929611341	0.0006726030110194794	0.0007408687921369126	0.00043258832011535694	0.00022881462583088308	0.0007073719951427123	0.00017785049887064934	0.0008219684775088876	0.0005756205509328251	0.0006861743492779921	0.0014203666002614932	0.00070263007720423615	0.00068857877341167825
IGLV5-39	0	0.00033098152571450637	0.0007943232366024147	0.0011386351559930163	0.0008519459866244482	0	0.0004590525156077855	0.00034367607384453233	0.00035159065472039746	0.0006911049039652144	0.000469579100599496	0.0005273071886617237	0.0001597388801772037	0.0003691035704618716	0.0005183513662014176	0.0004484020073463196	0.0003704343960684563	0.00043258832011535694	0.00045762925166176617	0.0014147439902854246	0.0008892524943532467	0.0008219684775088876	0.0009593675848880419	0.0006861743492779921	0	0.00053943804122718079	0.00045905251560778552
IGLV3-22	0.000577311652073511	0.00033098152571450637	0.001191484854903622	0	0.0005679639910829655	0	0.0004590525156077855	0.00034367607384453233	0.0007031813094407949	0.0003455524519826072	0.000469579100599496	0.0005273071886617237	0.0001597388801772037	0	0.0004146810929611341	0.0004484020073463196	0.0003704343960684563	0.00043258832011535694	0.00022881462583088308	0.00023579066504757077	0.00017785049887064934	0.0006164763581316657	0.00019187351697760836	0	0	0.00035170964101753567	0.00034555245198260721
IGLV4-3	0	0.00033098152571450637	0	0.0003795450519976721	0.00028398199554148274	0.0002796485749574701	0.0004590525156077855	0	0.0007031813094407949	0.0003455524519826072	0.000234789550299748	0.00035153812577448244	0.0006389555207088148	0.0003691035704618716	0.0006220216394417011	0.0006726030110194794	0.0007408687921369126	0	0.00022881462583088308	0	0.0003557009977412987	0.0006164763581316657	0	0	0	0.00030451262467156708	0.00033098152571450637
IGLV3-12	0	0.00016549076285725319	0	0.0003795450519976721	0.00018932133036098846	0.0003495607186968376	0.0004590525156077855	0.00017183803692226617	0.00035159065472039746	0	0.000352184325449622	5.858968762908041e-05	0.00023960832026580553	0	0.00031101081972085057	0.0007847035128560593	0.0003704343960684563	0.0005407354001441962	0	0.0007270212172300098	0	0.0002054921193772219	0.0007674940679104334	0	0.0009651208950494762	0.00029555175331457648	0.00023960832026580553
IGLV5-48	0	0	0	0	0	0.0002796485749574701	0	0	0.00035159065472039746	0	0	0	0	3.691035704618716e-05	0	0.0002242010036731598	0.0007408687921369126	0.00043258832011535694	0.00045762925166176617	0.00023579066504757077	0.00017785049887064934	0	0.00019187351697760836	0	0.0003277769077526523	0.00013826914171838925	0.0
IGLV2-34	0	0	0	0.00018977252599883604	0.00014199099777074137	5.592971499149402e-05	4.590525156077855e-05	0.00017183803692226617	0	0.0001727762259913036	0	0.00017576906288724122	0.0003833733124252889	9.22758926154679e-05	0	0.0002690412044077918	0.00018521719803422815	0	0	0.00011789533252378538	0	0	0.00013431146188432584	0	0.00034962870160282916	9.9428996784655126e-05	5.5929714991494023e-05
IGLV2-NL1	0	0	0	0.00018977252599883604	0.00014199099777074137	5.592971499149402e-05	0	0.00017183803692226617	0	0.0001727762259913036	0	0.00017576906288724122	0.00035142553638984816	9.22758926154679e-05	0	0.0002690412044077918	0.00018521719803422815	0	0	0.00011789533252378538	0	0	0.00013431146188432584	0	0.00034962870160282916	9.6314875680806363e-05	5.5929714991494023e-05
IGLV1-41	0	0	0	0	0.00014199099777074137	0	0	0	0	0	0	0	7.986944008860185e-05	0	0	0	0	0	0	0	0.00017785049887064934	0	0.00019187351697760836	0.00022872478309266404	0.00038240639237809433	4.810862516713437e-05	0.0
IGLV3-32	0	0	0	0	0	0	0.00022952625780389276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1810503121557112e-06	0.0
IGLV3-31	0	0	0.00019858080915060368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9432323660241475e-06	0.0
